company_name,company_number
"Hydes' Brewery Limited",00126186
"Reach Regionals Media Limited",00127699
"Lax & Shaw Limited",00127795
"Prospect Engineering Limited",00128488
"World Transport Agency Limited",00129014
"Phoenix Healthcare Distribution Limited",00129370
"G. R. Wright & Sons Limited",00129755
"Stellantis &You UK Limited",00129806
"William Birch & Sons Limited",00129834
"Harris & Bailey Limited",00129871
"Benjn. R. Vickers & Sons, Limited",00130013
"Scandinavian Tobacco Group United Kingdom Limited",00130335
"H. B. Clark & Co. (Successors) Limited",00130435
"The Shell Company Of Thailand Limited",00130588
"Western Buses Limited",00131237
"Oxbow UK Limited",00131256
"R. C. Treatt & Co. Limited",00131429
"Trent Motor Traction Company Limited (The)",00131912
"Attock Oil Company Limited (The)",00132501
"Woodlands Home & Garden Group Limited",00132673
"Emmi Desserts Taunton Limited",00132872
"Garston Tanning Company Limited",00132895
"John Swire & Sons Limited",00133143
"Arco Limited",00133804
"First Cymru Buses Limited",00133884
"T. H. White Holdings Limited",00133886
"B. A. T. China Limited",00134409
"Moss Bros Group Limited",00134995
"James Galt & Co. Limited",00135476
"Mansfield, Pollard & Co. Limited",00135633
"Vauxhall Motors Limited",00135767
"Sandvik Limited",00136547
"Smiths Group Plc",00137013
"Vale Europe Limited",00137114
"Vinarchy UK Limited",00137407
"W & J Linney Limited",00137552
"Millers Oils Limited",00137671
"Sem Limited",00138006
"Shepherd Neame Limited",00138256
"Firth Rixson Metals Limited",00138691
"Accell UK & Ireland Ltd",00139076
"Wieland Metals Birmingham Ltd",00139599
"Formica Limited",00139731
"Tba Protective Technologies Limited",00139866
"Univar Solutions UK Limited",00139876
"BP Shipping Limited",00140132
"Shell U.K. Limited",00140141
"James Halstead Plc",00140269
"Beadles Dartford Limited",00140339
"Amsafe Bridport Limited",00140449
"C. & J. Clark International Limited",00141015
"Headington School Oxford Limited",00141076
"Driveway Vehicle Solutions Limited",00141388
"Rolex Watch Company, Limited (The)",00142138
"Fastmarkets Global Limited",00142215
"D. Stewart & Son, Limited",00142895
"Bathgate Silica Sand Limited",00142987
"T. Manners & Sons Limited",00143125
"Righton & Blackburns Limited",00143411
"Lookers Motor Group Limited",00143470
"Bausch & Lomb U.K. Limited",00143720
"Binney & Smith (Europe) Limited",00143803
"Keeling & Walker, Limited",00144119
"Ernest Jackson & Co. Limited",00144133
"G.& J.Peck Limited",00144465
"East Kent Road Car Company, Limited",00144585
"CHR. Hansen (UK) Limited",00145472
"Refinitiv Limited",00145516
"Watches Of Switzerland Company Limited",00146087
"Meade-King, Robinson & Company Limited",00146176
"John Hogg Technical Solutions Limited",00147014
"Algeco UK Limited",00147207
"Otis Limited",00147366
"Ube Urethanes UK Ltd",00147556
"H.J. Heinz Manufacturing UK Limited",00147624
"Shoe Zone Retail Limited",00148038
"J.H.& F.W.Green Limited",00148350
"E.P.Barrus Limited",00148476
"Peugeot Motor Company Plc",00148545
"Thomas Ridley And Son, Limited",00148692
"Grays Of Cambridge (International) Limited",00148700
"ASH & Lacy Building Systems Limited",00149058
"G Plan Upholstery Limited",00149073
"F.Hinds Limited",00149328
"Avon Polymer Products Limited",00149360
"Castrol Limited",00149435
"Bishopsgate Insurance Brokers Limited",00149526
"King, Taudevin & Gregson Limited",00149620
"Rickerby Holdings Limited",00149685
"Furrows Limited",00149772
"00150042 Plc",00150042
"Western United Investment Company Limited",00151289
"LNRS Data Services Limited",00151537
"Infinis (Re-Gen) Limited",00151665
"Prime Global Energies Limited",00151940
"H. Clarkson & Company Limited",00152738
"Simpsons Malt Limited",00153026
"Fanuc UK Limited",00153227
"Pont Packaging Limited",00153279
"Stratstone Automotive Limited",00153658
"Norwich City Football Club Plc",00154044
"Altro Limited",00154159
"Joseph ASH Limited",00154773
